group,unknown_class,predicted,score,threshold,hf_test_index
far,sunflower,cat,-7.0478,-5.9793,9315
far,bowl,cat,-7.04,-5.9793,6254
near,tractor,ship,-7.0264,-5.9793,5182
far,mushroom,bird,-7.0225,-5.9793,3352
far,bowl,frog,-7.0162,-5.9793,806
near,pickup_truck,automobile,-7.014,-5.9793,1155
far,sunflower,cat,-7.0084,-5.9793,8616
far,mushroom,frog,-7.0043,-5.9793,909
far,bowl,dog,-7.0018,-5.9793,3952
far,keyboard,dog,-6.9991,-5.9793,8233
far,keyboard,airplane,-6.998,-5.9793,8472
far,sunflower,bird,-6.9976,-5.9793,9256
far,mushroom,bird,-6.9968,-5.9793,5354
far,chair,cat,-6.9879,-5.9793,1792
near,tractor,truck,-6.9835,-5.9793,9203
far,sunflower,bird,-6.9822,-5.9793,7989
far,wardrobe,bird,-6.976,-5.9793,4734
near,wolf,cat,-6.9707,-5.9793,2986
far,mushroom,cat,-6.9693,-5.9793,5219
near,tractor,truck,-6.961,-5.9793,283
far,keyboard,truck,-6.957,-5.9793,5740
far,clock,bird,-6.9566,-5.9793,583
far,clock,cat,-6.9475,-5.9793,1560
far,wardrobe,cat,-6.9462,-5.9793,8757
near,camel,dog,-6.942,-5.9793,8834
far,chair,truck,-6.9377,-5.9793,7535
far,wardrobe,truck,-6.9364,-5.9793,8531
near,pickup_truck,automobile,-6.923,-5.9793,4387
near,wolf,dog,-6.9213,-5.9793,9886
far,chair,bird,-6.9178,-5.9793,8498
near,pickup_truck,automobile,-6.9062,-5.9793,1568
far,clock,truck,-6.9034,-5.9793,1927
near,wolf,cat,-6.9033,-5.9793,5781
near,leopard,cat,-6.9024,-5.9793,6735
near,leopard,cat,-6.9019,-5.9793,4677
far,keyboard,airplane,-6.9001,-5.9793,5505
far,wardrobe,truck,-6.898,-5.9793,4382
near,leopard,cat,-6.8968,-5.9793,2678
far,bottle,ship,-6.8948,-5.9793,1135
near,fox,deer,-6.8881,-5.9793,1645
near,fox,dog,-6.8864,-5.9793,1432
near,fox,dog,-6.8853,-5.9793,959
near,camel,horse,-6.8755,-5.9793,902
far,bottle,ship,-6.8704,-5.9793,4981
far,chair,frog,-6.8589,-5.9793,4159
near,tractor,truck,-6.8555,-5.9793,7006
near,fox,deer,-6.8553,-5.9793,5832
near,wolf,dog,-6.8486,-5.9793,4225
far,chair,airplane,-6.8393,-5.9793,4186
near,tractor,truck,-6.8389,-5.9793,9922
far,bowl,dog,-6.8333,-5.9793,3507
far,wardrobe,truck,-6.8303,-5.9793,6390
far,mushroom,bird,-6.8291,-5.9793,953
near,pickup_truck,truck,-6.827,-5.9793,7119
far,sunflower,bird,-6.8265,-5.9793,9209
near,wolf,cat,-6.8229,-5.9793,8101
far,mushroom,bird,-6.8089,-5.9793,2579
far,bottle,ship,-6.8028,-5.9793,8309
near,leopard,dog,-6.8006,-5.9793,3567
far,wardrobe,truck,-6.7975,-5.9793,363
near,leopard,deer,-6.7853,-5.9793,3009
far,bowl,automobile,-6.7749,-5.9793,163
near,bus,truck,-6.7748,-5.9793,8596
near,camel,dog,-6.7748,-5.9793,6037
far,sunflower,bird,-6.7712,-5.9793,9940
near,camel,horse,-6.7674,-5.9793,1184
near,fox,dog,-6.7624,-5.9793,338
far,wardrobe,truck,-6.7423,-5.9793,2715
far,keyboard,frog,-6.7412,-5.9793,6298
far,chair,frog,-6.7404,-5.9793,840
near,leopard,frog,-6.7401,-5.9793,1324
near,tractor,automobile,-6.7396,-5.9793,6360
far,clock,cat,-6.7367,-5.9793,6890
near,fox,dog,-6.7361,-5.9793,8618
near,leopard,frog,-6.7297,-5.9793,9261
far,keyboard,frog,-6.7274,-5.9793,2627
near,pickup_truck,truck,-6.7247,-5.9793,2556
near,motorcycle,automobile,-6.7182,-5.9793,6382
far,bowl,frog,-6.6968,-5.9793,1809
near,pickup_truck,automobile,-6.6913,-5.9793,5738
far,clock,ship,-6.6886,-5.9793,6981
far,mushroom,frog,-6.6863,-5.9793,8549
near,bus,truck,-6.684,-5.9793,4464
far,wardrobe,truck,-6.6826,-5.9793,1508
near,wolf,cat,-6.6819,-5.9793,6160
near,camel,dog,-6.6783,-5.9793,650
far,mushroom,bird,-6.6705,-5.9793,3493
far,bowl,frog,-6.664,-5.9793,6565
near,pickup_truck,truck,-6.6521,-5.9793,2012
far,bowl,automobile,-6.652,-5.9793,5282
far,chair,truck,-6.6506,-5.9793,157
near,tractor,truck,-6.6492,-5.9793,1753
near,leopard,cat,-6.6368,-5.9793,555
near,leopard,cat,-6.6313,-5.9793,3104
far,bottle,bird,-6.625,-5.9793,3011
far,clock,automobile,-6.6236,-5.9793,4206
far,keyboard,deer,-6.623,-5.9793,771
near,fox,deer,-6.6211,-5.9793,4003
near,camel,dog,-6.6184,-5.9793,5249
far,bowl,ship,-6.6105,-5.9793,6772
far,bottle,ship,-6.6095,-5.9793,2822
far,mushroom,airplane,-6.6083,-5.9793,5638
near,fox,dog,-6.6073,-5.9793,969
far,wardrobe,truck,-6.6055,-5.9793,4466
near,wolf,dog,-6.6038,-5.9793,6652
near,bus,truck,-6.6029,-5.9793,3478
near,motorcycle,automobile,-6.6002,-5.9793,7640
far,clock,automobile,-6.5958,-5.9793,5319
far,chair,airplane,-6.5865,-5.9793,1947
near,camel,deer,-6.5855,-5.9793,1510
near,pickup_truck,automobile,-6.5815,-5.9793,3933
far,bottle,automobile,-6.5809,-5.9793,4848
far,chair,horse,-6.5803,-5.9793,2577
far,chair,airplane,-6.5772,-5.9793,3317
far,wardrobe,truck,-6.5759,-5.9793,5428
far,mushroom,bird,-6.5751,-5.9793,1138
far,bowl,frog,-6.5663,-5.9793,3348
far,clock,cat,-6.5653,-5.9793,2945
far,clock,ship,-6.5639,-5.9793,182
far,bottle,truck,-6.5623,-5.9793,6025
far,keyboard,cat,-6.5552,-5.9793,3347
far,sunflower,frog,-6.5521,-5.9793,5861
far,bottle,truck,-6.5425,-5.9793,9857
near,fox,bird,-6.5384,-5.9793,5726
near,wolf,dog,-6.5315,-5.9793,3487
far,mushroom,frog,-6.5302,-5.9793,3039
far,wardrobe,cat,-6.5252,-5.9793,8244
far,keyboard,frog,-6.5236,-5.9793,147
near,bus,truck,-6.5211,-5.9793,8663
far,keyboard,bird,-6.5193,-5.9793,3855
near,fox,cat,-6.5177,-5.9793,3605
far,sunflower,bird,-6.5099,-5.9793,9431
near,camel,bird,-6.5034,-5.9793,7750
near,motorcycle,automobile,-6.5003,-5.9793,7289
far,mushroom,bird,-6.4981,-5.9793,7181
near,tractor,truck,-6.4957,-5.9793,2171
near,motorcycle,airplane,-6.4927,-5.9793,6730
far,chair,airplane,-6.487,-5.9793,1525
near,leopard,cat,-6.4849,-5.9793,1620
near,pickup_truck,truck,-6.4847,-5.9793,9504
far,bowl,frog,-6.4799,-5.9793,4386
far,clock,airplane,-6.4792,-5.9793,2475
near,camel,airplane,-6.4752,-5.9793,769
near,pickup_truck,truck,-6.4723,-5.9793,5129
far,sunflower,dog,-6.4712,-5.9793,67
near,tractor,truck,-6.4634,-5.9793,4027
far,clock,ship,-6.4425,-5.9793,6482
near,tractor,truck,-6.438,-5.9793,652
far,keyboard,truck,-6.4363,-5.9793,6340
far,bowl,dog,-6.4331,-5.9793,5083
near,tractor,truck,-6.4327,-5.9793,8141
near,fox,cat,-6.4318,-5.9793,7973
near,tractor,horse,-6.4312,-5.9793,5818
far,chair,airplane,-6.4304,-5.9793,3299
near,leopard,dog,-6.4284,-5.9793,4238
near,camel,horse,-6.4225,-5.9793,2834
near,wolf,cat,-6.4185,-5.9793,6433
near,wolf,dog,-6.4168,-5.9793,8918
far,mushroom,frog,-6.4149,-5.9793,5838
far,chair,airplane,-6.4145,-5.9793,6594
far,clock,cat,-6.4093,-5.9793,4174
near,fox,deer,-6.4091,-5.9793,1799
far,mushroom,deer,-6.4027,-5.9793,7060
far,mushroom,horse,-6.3939,-5.9793,4394
far,keyboard,airplane,-6.3925,-5.9793,180
near,fox,dog,-6.3898,-5.9793,4441
far,sunflower,dog,-6.3876,-5.9793,5155
far,wardrobe,truck,-6.3876,-5.9793,5643
near,pickup_truck,automobile,-6.3835,-5.9793,5893
near,camel,bird,-6.3833,-5.9793,5516
near,camel,horse,-6.3832,-5.9793,2051
near,wolf,cat,-6.3818,-5.9793,6552
near,pickup_truck,automobile,-6.378,-5.9793,3537
near,camel,horse,-6.3763,-5.9793,8780
near,wolf,cat,-6.375,-5.9793,3927
far,sunflower,cat,-6.3652,-5.9793,3115
near,motorcycle,airplane,-6.362,-5.9793,3054
far,keyboard,cat,-6.3602,-5.9793,6145
near,wolf,cat,-6.3559,-5.9793,8634
far,mushroom,deer,-6.3543,-5.9793,2200
near,fox,cat,-6.3531,-5.9793,7248
near,motorcycle,automobile,-6.3503,-5.9793,9345
far,chair,truck,-6.3481,-5.9793,7543
near,leopard,frog,-6.3384,-5.9793,4611
far,bowl,automobile,-6.329,-5.9793,8013
far,mushroom,bird,-6.3276,-5.9793,1782
near,camel,horse,-6.3255,-5.9793,8598
near,camel,bird,-6.3225,-5.9793,7912
far,mushroom,cat,-6.322,-5.9793,9193
far,bowl,ship,-6.3214,-5.9793,6252
near,camel,deer,-6.3179,-5.9793,717
far,wardrobe,truck,-6.3159,-5.9793,5215
near,wolf,cat,-6.3088,-5.9793,7375
near,pickup_truck,truck,-6.3069,-5.9793,5568
near,fox,cat,-6.3039,-5.9793,6693
far,bottle,truck,-6.3029,-5.9793,1130
near,camel,deer,-6.3026,-5.9793,3985
near,fox,deer,-6.2971,-5.9793,5889
near,leopard,deer,-6.2961,-5.9793,1084
far,wardrobe,truck,-6.2783,-5.9793,8868
far,bottle,bird,-6.2748,-5.9793,9044
far,bottle,ship,-6.2727,-5.9793,6089
near,bus,automobile,-6.272,-5.9793,2019
near,tractor,truck,-6.2707,-5.9793,2569
far,chair,truck,-6.2685,-5.9793,3349
far,wardrobe,truck,-6.2644,-5.9793,7828
near,pickup_truck,truck,-6.2479,-5.9793,507
near,bus,automobile,-6.2364,-5.9793,4426
near,fox,dog,-6.2334,-5.9793,1320
far,bowl,frog,-6.2312,-5.9793,365
far,sunflower,bird,-6.2274,-5.9793,8730
far,wardrobe,truck,-6.2251,-5.9793,3149
far,mushroom,bird,-6.2159,-5.9793,1454
far,wardrobe,cat,-6.2149,-5.9793,6046
far,wardrobe,horse,-6.2131,-5.9793,9212
near,leopard,frog,-6.2106,-5.9793,3074
near,fox,bird,-6.2078,-5.9793,5896
far,mushroom,frog,-6.2042,-5.9793,2937
far,bottle,ship,-6.2038,-5.9793,1932
near,wolf,dog,-6.2025,-5.9793,4378
far,mushroom,bird,-6.1939,-5.9793,8829
near,fox,cat,-6.1891,-5.9793,3608
near,motorcycle,frog,-6.1835,-5.9793,2072
far,keyboard,bird,-6.1834,-5.9793,5633
far,mushroom,bird,-6.1742,-5.9793,2005
far,chair,airplane,-6.169,-5.9793,4214
far,wardrobe,cat,-6.1645,-5.9793,1470
far,bottle,ship,-6.1635,-5.9793,9357
far,chair,airplane,-6.1517,-5.9793,1652
far,sunflower,bird,-6.1515,-5.9793,6388
far,sunflower,bird,-6.1483,-5.9793,7776
near,leopard,dog,-6.1419,-5.9793,477
near,bus,automobile,-6.1415,-5.9793,7816
far,mushroom,airplane,-6.1369,-5.9793,9997
far,bottle,bird,-6.1289,-5.9793,52
near,wolf,dog,-6.1272,-5.9793,7650
near,motorcycle,automobile,-6.1246,-5.9793,6279
far,bottle,ship,-6.1238,-5.9793,3232
near,pickup_truck,automobile,-6.1231,-5.9793,5317
near,tractor,ship,-6.1175,-5.9793,1261
near,fox,cat,-6.117,-5.9793,8150
far,wardrobe,truck,-6.1093,-5.9793,7607
far,mushroom,airplane,-6.1025,-5.9793,5484
near,pickup_truck,automobile,-6.1014,-5.9793,47
near,wolf,dog,-6.1014,-5.9793,6178
near,wolf,bird,-6.1006,-5.9793,7561
near,fox,dog,-6.0937,-5.9793,4703
near,leopard,frog,-6.0911,-5.9793,313
far,chair,truck,-6.0788,-5.9793,7456
near,leopard,frog,-6.0786,-5.9793,6767
near,motorcycle,automobile,-6.0711,-5.9793,1812
near,camel,horse,-6.0607,-5.9793,9362
near,wolf,dog,-6.0594,-5.9793,9965
near,motorcycle,automobile,-6.0564,-5.9793,7569
far,mushroom,bird,-6.0514,-5.9793,1760
near,leopard,bird,-6.0513,-5.9793,4971
far,clock,cat,-6.0456,-5.9793,7923
far,sunflower,airplane,-6.0406,-5.9793,8867
near,motorcycle,automobile,-6.0389,-5.9793,6954
near,leopard,bird,-6.0373,-5.9793,4118
near,leopard,deer,-6.036,-5.9793,5478
near,tractor,truck,-6.0294,-5.9793,5495
near,bus,truck,-6.0224,-5.9793,3947
far,bowl,automobile,-6.022,-5.9793,2295
near,tractor,truck,-6.0193,-5.9793,8942
near,leopard,bird,-6.0186,-5.9793,702
near,pickup_truck,automobile,-6.0164,-5.9793,196
far,keyboard,horse,-6.0143,-5.9793,26
near,pickup_truck,automobile,-6.0132,-5.9793,149
near,motorcycle,cat,-6.0121,-5.9793,7249
far,bowl,cat,-6.0075,-5.9793,3078
near,leopard,deer,-6.0064,-5.9793,9914
far,mushroom,airplane,-6.0062,-5.9793,271
near,camel,horse,-6.0024,-5.9793,62
near,tractor,truck,-6.0014,-5.9793,7590
far,chair,airplane,-6.0002,-5.9793,3912
far,sunflower,bird,-5.9967,-5.9793,2243
far,clock,truck,-5.9918,-5.9793,7933
near,motorcycle,airplane,-5.991,-5.9793,3893
far,bottle,dog,-5.9874,-5.9793,4683
near,motorcycle,truck,-5.9841,-5.9793,5162
far,bottle,cat,-5.9815,-5.9793,3906
